group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Resolve,Bench Value::resolve(scalar_char).,,,,1096412.0,ns,14152
Resolve,Bench Value::resolve(scalar_char).,,,,2085333.0,ns,28304
Resolve,Bench Value::resolve(scalar_char).,,,,2846834.0,ns,42456
Resolve,Bench Value::resolve(scalar_char).,,,,3753916.0,ns,56608
Resolve,Bench Value::resolve(scalar_char).,,,,4650759.0,ns,70760
Resolve,Bench Value::resolve(scalar_char).,,,,5921009.0,ns,84912
Resolve,Bench Value::resolve(scalar_char).,,,,8129919.0,ns,99064
Resolve,Bench Value::resolve(scalar_char).,,,,7968752.0,ns,113216
Resolve,Bench Value::resolve(scalar_char).,,,,9142363.0,ns,127368
Resolve,Bench Value::resolve(scalar_char).,,,,9840413.0,ns,141520
Resolve,Bench Value::resolve(scalar_char).,,,,14565402.0,ns,155672
Resolve,Bench Value::resolve(scalar_char).,,,,16274277.0,ns,169824
Resolve,Bench Value::resolve(scalar_char).,,,,16760169.0,ns,183976
Resolve,Bench Value::resolve(scalar_char).,,,,13268680.0,ns,198128
Resolve,Bench Value::resolve(scalar_char).,,,,14576442.0,ns,212280
Resolve,Bench Value::resolve(scalar_char).,,,,15890650.0,ns,226432
Resolve,Bench Value::resolve(scalar_char).,,,,17106207.0,ns,240584
Resolve,Bench Value::resolve(scalar_char).,,,,18208731.0,ns,254736
Resolve,Bench Value::resolve(scalar_char).,,,,17773116.0,ns,268888
Resolve,Bench Value::resolve(scalar_char).,,,,18860382.0,ns,283040
Resolve,Bench Value::resolve(scalar_char).,,,,20128121.0,ns,297192
Resolve,Bench Value::resolve(scalar_char).,,,,20517184.0,ns,311344
Resolve,Bench Value::resolve(scalar_char).,,,,21098993.0,ns,325496
Resolve,Bench Value::resolve(scalar_char).,,,,21297062.0,ns,339648
Resolve,Bench Value::resolve(scalar_char).,,,,22122440.0,ns,353800
Resolve,Bench Value::resolve(scalar_char).,,,,22698976.0,ns,367952
Resolve,Bench Value::resolve(scalar_char).,,,,24553799.0,ns,382104
Resolve,Bench Value::resolve(scalar_char).,,,,26078667.0,ns,396256
Resolve,Bench Value::resolve(scalar_char).,,,,25870352.0,ns,410408
Resolve,Bench Value::resolve(scalar_char).,,,,26339229.0,ns,424560
Resolve,Bench Value::resolve(scalar_char).,,,,27862679.0,ns,438712
Resolve,Bench Value::resolve(scalar_char).,,,,29802164.0,ns,452864
Resolve,Bench Value::resolve(scalar_char).,,,,30412205.0,ns,467016
Resolve,Bench Value::resolve(scalar_char).,,,,31403846.0,ns,481168
Resolve,Bench Value::resolve(scalar_char).,,,,32577594.0,ns,495320
Resolve,Bench Value::resolve(scalar_char).,,,,32883192.0,ns,509472
