group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Resolve,Bench Value::resolve(scalar_float_signed).,,,,985539.0,ns,10891
Resolve,Bench Value::resolve(scalar_float_signed).,,,,1940095.0,ns,21782
Resolve,Bench Value::resolve(scalar_float_signed).,,,,3331286.0,ns,32673
Resolve,Bench Value::resolve(scalar_float_signed).,,,,3897513.0,ns,43564
Resolve,Bench Value::resolve(scalar_float_signed).,,,,4878567.0,ns,54455
Resolve,Bench Value::resolve(scalar_float_signed).,,,,5960114.0,ns,65346
Resolve,Bench Value::resolve(scalar_float_signed).,,,,6759271.0,ns,76237
Resolve,Bench Value::resolve(scalar_float_signed).,,,,7494958.0,ns,87128
Resolve,Bench Value::resolve(scalar_float_signed).,,,,8454449.0,ns,98019
Resolve,Bench Value::resolve(scalar_float_signed).,,,,9428158.0,ns,108910
Resolve,Bench Value::resolve(scalar_float_signed).,,,,10305349.0,ns,119801
Resolve,Bench Value::resolve(scalar_float_signed).,,,,11247596.0,ns,130692
Resolve,Bench Value::resolve(scalar_float_signed).,,,,12047157.0,ns,141583
Resolve,Bench Value::resolve(scalar_float_signed).,,,,12998267.0,ns,152474
Resolve,Bench Value::resolve(scalar_float_signed).,,,,13900031.0,ns,163365
Resolve,Bench Value::resolve(scalar_float_signed).,,,,14924594.0,ns,174256
Resolve,Bench Value::resolve(scalar_float_signed).,,,,15774325.0,ns,185147
Resolve,Bench Value::resolve(scalar_float_signed).,,,,16799670.0,ns,196038
Resolve,Bench Value::resolve(scalar_float_signed).,,,,18909851.0,ns,206929
Resolve,Bench Value::resolve(scalar_float_signed).,,,,18779446.0,ns,217820
Resolve,Bench Value::resolve(scalar_float_signed).,,,,19898462.0,ns,228711
Resolve,Bench Value::resolve(scalar_float_signed).,,,,20554822.0,ns,239602
Resolve,Bench Value::resolve(scalar_float_signed).,,,,21607918.0,ns,250493
Resolve,Bench Value::resolve(scalar_float_signed).,,,,22358091.0,ns,261384
Resolve,Bench Value::resolve(scalar_float_signed).,,,,23324117.0,ns,272275
Resolve,Bench Value::resolve(scalar_float_signed).,,,,24396956.0,ns,283166
Resolve,Bench Value::resolve(scalar_float_signed).,,,,25103187.0,ns,294057
Resolve,Bench Value::resolve(scalar_float_signed).,,,,26125472.0,ns,304948
Resolve,Bench Value::resolve(scalar_float_signed).,,,,27599706.0,ns,315839
Resolve,Bench Value::resolve(scalar_float_signed).,,,,28060122.0,ns,326730
Resolve,Bench Value::resolve(scalar_float_signed).,,,,29170408.0,ns,337621
Resolve,Bench Value::resolve(scalar_float_signed).,,,,29948613.0,ns,348512
Resolve,Bench Value::resolve(scalar_float_signed).,,,,30711173.0,ns,359403
Resolve,Bench Value::resolve(scalar_float_signed).,,,,33490777.0,ns,370294
Resolve,Bench Value::resolve(scalar_float_signed).,,,,46900088.0,ns,381185
Resolve,Bench Value::resolve(scalar_float_signed).,,,,50356408.0,ns,392076
Resolve,Bench Value::resolve(scalar_float_signed).,,,,44966288.0,ns,402967
Resolve,Bench Value::resolve(scalar_float_signed).,,,,45172116.0,ns,413858
Resolve,Bench Value::resolve(scalar_float_signed).,,,,36864054.0,ns,424749
Resolve,Bench Value::resolve(scalar_float_signed).,,,,37303236.0,ns,435640
Resolve,Bench Value::resolve(scalar_float_signed).,,,,38543777.0,ns,446531
Resolve,Bench Value::resolve(scalar_float_signed).,,,,39311436.0,ns,457422
Resolve,Bench Value::resolve(scalar_float_signed).,,,,40103317.0,ns,468313
Resolve,Bench Value::resolve(scalar_float_signed).,,,,41187231.0,ns,479204
Resolve,Bench Value::resolve(scalar_float_signed).,,,,45747725.0,ns,490095
Resolve,Bench Value::resolve(scalar_float_signed).,,,,43157912.0,ns,500986
Resolve,Bench Value::resolve(scalar_float_signed).,,,,43821465.0,ns,511877
Resolve,Bench Value::resolve(scalar_float_signed).,,,,44737499.0,ns,522768
Resolve,Bench Value::resolve(scalar_float_signed).,,,,46077666.0,ns,533659
Resolve,Bench Value::resolve(scalar_float_signed).,,,,47281467.0,ns,544550
Resolve,Bench Value::resolve(scalar_float_signed).,,,,47592123.0,ns,555441
Resolve,Bench Value::resolve(scalar_float_signed).,,,,48453843.0,ns,566332
Resolve,Bench Value::resolve(scalar_float_signed).,,,,49289703.0,ns,577223
Resolve,Bench Value::resolve(scalar_float_signed).,,,,50483345.0,ns,588114
